time_unix;time_iso;open;high;low;close;tick_volume;real_volume;spread
1704153900;2024.01.02 00:05;1.10424;1.10424;1.10423;1.10423;2;0;42
1704153960;2024.01.02 00:06;1.10425;1.10427;1.10423;1.10423;3;0;38
1704154020;2024.01.02 00:07;1.10425;1.10425;1.10425;1.10425;1;0;36
1704154140;2024.01.02 00:09;1.10417;1.10417;1.10417;1.10417;1;0;52
1704154200;2024.01.02 00:10;1.10417;1.10417;1.10416;1.10416;2;0;52
1704154260;2024.01.02 00:11;1.10416;1.10416;1.10416;1.10416;1;0;53
1704154320;2024.01.02 00:12;1.10425;1.10425;1.10425;1.10425;1;0;34
1704154500;2024.01.02 00:15;1.10425;1.10425;1.10425;1.10425;1;0;34
1704154860;2024.01.02 00:21;1.10421;1.10427;1.10416;1.10427;17;0;30
1704154920;2024.01.02 00:22;1.10434;1.10434;1.10431;1.10431;2;0;19
1704154980;2024.01.02 00:23;1.10427;1.10427;1.10425;1.10425;2;0;30
1704155040;2024.01.02 00:24;1.10427;1.10431;1.10427;1.10431;2;0;26
1704155160;2024.01.02 00:26;1.10427;1.10427;1.10427;1.10427;1;0;28
1704155220;2024.01.02 00:27;1.10425;1.10430;1.10425;1.10430;2;0;29
1704155580;2024.01.02 00:33;1.10422;1.10422;1.10422;1.10422;1;0;38
